Item,Series,Time Stamp,Date,Time (s),NodeNumber,Measurement ID,Image,Intensity (Cnt/s),Normalized Intensity (Cnt/s),Number Acqs,Number Unmarked Acqs,Number Marked Acqs,% Acqs Unmarked,Acq Time (s),DLS Temp (C),Attenuation Level (%),Laser Power (%),Set Temp (C),Ramp Rate (C/min),Well,Insert Info,Row,Col,Configuration,Radius (nm),Amplitude,Diffusion Coefficient (cm²/s),Diameter (nm),Polydispersity (nm),%PD,PD Index,Mw-R (kDa),Baseline,SOS,Viscosity from Sample Rh (cP),Lambda (1/s),Sigma (1/s²),D10 (nm),D50 (nm),D90 (nm),Span (D90 - D10)/D50,Range1 Radius (I) (nm),Range1 %Pd (I),Range1 Mw-R (I) (kDa),Range1 %Intensity (I),Range1 %Mass (I),Range1 %Number (I),Range1 Diameter (I) (nm),Range1 Diffusion Coefficient (I) (cm²/s),Range1 Particle Concentration (I) (1/mL),Range2 Radius (I) (nm),Range2 %Pd (I),Range2 Mw-R (I) (kDa),Range2 %Intensity (I),Range2 %Mass (I),Range2 %Number (I),Range2 Diameter (I) (nm),Range2 Diffusion Coefficient (I) (cm²/s),Range2 Particle Concentration (I) (1/mL),Range3 Radius (I) (nm),Range3 %Pd (I),Range3 Mw-R (I) (kDa),Range3 %Intensity (I),Range3 %Mass (I),Range3 %Number (I),Range3 Diameter (I) (nm),Range3 Diffusion Coefficient (I) (cm²/s),Range3 Particle Concentration (I) (1/mL),Range4 Radius (I) (nm),Range4 %Pd (I),Range4 Mw-R (I) (kDa),Range4 %Intensity (I),Range4 %Mass (I),Range4 %Number (I),Range4 Diameter (I) (nm),Range4 Diffusion Coefficient (I) (cm²/s),Range4 Particle Concentration (I) (1/mL),Range5 Radius (I) (nm),Range5 %Pd (I),Range5 Mw-R (I) (kDa),Range5 %Intensity (I),Range5 %Mass (I),Range5 %Number (I),Range5 Diameter (I) (nm),Range5 Diffusion Coefficient (I) (cm²/s),Range5 Particle Concentration (I) (1/mL),RMS Error,Number Unfiltered Peaks (I),Number Filtered Peaks (I),Pre-correction Internal Standard Rh (I) (nm),Internal Standard Viscosity (I) (cP),Mw-S (Da),1/Mw-S (1/Da),Particle Concentration (1/mL),Particle Concentration Calculation,Particle Material,Particle Shape,Particle Core Real RI,Particle Core Imaginary RI,Sample,Concentration (mg/mL),Mw-R Model,dn/dc (mL/g),Conformation Model for SLS,A2 (mol mL/g^2),Viscosity Calculation: Use Internal Standard,Internal Standard Rh (nm),Internal Standard Rh Range Minimum (nm),Internal Standard Rh Range Maximum (nm),Solvent,Rfr Idx @ 589nm & 20C,Viscosity (cP),Temp Model,
A1,,23:41:38,2025-08-30,0,1,1,None,5534600.7070665155,10062910.158376871,8,8,0,100,5.0331602096557617,25.191587204507499,0,55.000001192092896,25,5,A1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,1,2025-Aug-30 23:40:29,53.698485459044825,0.066385478193320469,4.5392983083507006e-08,107.39697091808965,17.17548893381116,31.985052812915352,0.31985052812915354,37578.879898312356,1.0000496799387766,0.19869631462415427,--,1604.9334340789583,1217.2270273200236,--,--,--,--,3.6404202575734659,10.07747532733157,69.20874746252079,1.863896244026519,91.379221029769013,99.997538876543274,7.2808405151469318,6.6957501320935818e-07,--,63.704152349502941,35.404971420204248,56049.318779866247,98.13610375597348,8.6207789702309938,0.0024611234567254348,127.40830469900588,3.8263352578325108e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.0053288937721663e-05,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89604457819053862,Aqueous,
A2,,23:42:27,2025-08-30,49,2,2,None,5374635.7586340606,17915451.816884108,8,8,0,100,5.0331602096557617,25.240103952096963,0,30.000001192092896,25,5,A2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",1,2,2025-Aug-30 23:40:29,58.259271522417009,0.066871598366182686,4.1892843444690864e-08,116.51854304483402,16.007808318804837,27.476842570277167,0.27476842570277166,45475.742751807411,0.99992683991876408,0.2435629055112695,--,1566.8918189454382,994.3372037660863,--,--,--,--,5.1943633453642057,15.058466697093047,158.99416708847451,2.3762099919864181,81.645488004271542,99.993211438662499,10.388726690728411,4.6986442395650809e-07,--,70.780877616887864,32.457642562596313,71715.326708058899,97.623790008013586,18.354511995728465,0.0067885613375033189,141.56175523377573,3.448172194615499e-08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,9.651310795071464e-05,4,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89504762399116822,Aqueous,
B1,,23:43:11,2025-08-30,93,3,3,None,5575636.6429716954,11151273.285943391,8,8,0,100,5.0331602096557617,25.231640846041145,0,50,25,5,B1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",2,1,2025-Aug-30 23:40:29,55.730653009401571,0.068220992106577186,4.3783867889675336e-08,111.46130601880314,18.028460160225745,32.349271337596576,0.32349271337596575,40991.112667008172,0.99994170595747423,0.26869146088161022,--,1539.3199570359006,1185.4079204054331,--,--,--,--,4.4011015918995762,11.796223715899689,107.89059947459683,2.3864579000610604,89.167348300208147,99.997241772000507,8.8022031837991523,5.5443018022126442e-07,--,61.450105556392288,26.407270278272811,51518.583619702076,88.681078697309474,6.8030787790469516,0.0027405740176371339,122.90021111278458,3.9708695805733183e-08,--,268.83006988976456,16.7290739839891,1628061.9223561881,8.9324634026294643,4.0295729207449069,1.7653981862438439e-05,537.66013977952912,9.076750788219321e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8.9753911586842191e-05,4,3,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89522139324240613,Aqueous,
B2,,23:43:55,2025-08-30,137,4,4,None,5194480.7878527362,17314935.271475408,8,8,0,100,5.0331602096557617,25.185847009262908,0,30.000001192092896,25,5,B2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",2,2,2025-Aug-30 23:40:29,61.719336378859708,0.081867764945298432,3.9487889833528857e-08,123.43867275771942,21.778562923151455,35.286450245455185,0.35286450245455186,52048.269291615601,0.99990637314094644,0.35189176707848346,--,1316.4918066752484,1153.9655055283031,--,--,--,--,--,--,--,--,--,--,--,--,--,16.665005283560291,26.38006083709838,2431.9747558363601,5.2375779634566486,22.856697740820557,98.453288771594416,33.330010567120581,1.4624455942604107e-07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00012475027505614726,3,2,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89616265679289964,Aqueous,
C1,,23:44:39,2025-08-30,181,5,5,None,6655652.1527696913,45743311.915442303,8,8,0,100,5.0331602096557617,25.088176428718235,2.9999999329447746,15.000000596046448,25,5,C1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",3,1,2025-Aug-30 23:40:29,670.09078133027572,0.029670798926310363,3.6277280127018493e-09,1340.1815626605514,382.48535067548312,57.079631794988529,0.57079631794988528,13796412.021496905,1.0026278606903936,1.0562310553642618,--,7.2803309268462716e-06,183.25491548639965,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,543.27583122081694,26.099478879653148,8444605.2725748308,100,100,100,1086.5516624416339,4.4745356940000831e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00070929444302531963,2,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.89817586112852288,Aqueous,
C2,,23:45:24,2025-08-30,226,6,6,None,6316357.6727983579,62849328.810254306,8,8,0,100,5.0331602096557617,24.95753010128632,33.000001311302185,15.000000596046448,25,5,C2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",3,2,2025-Aug-30 23:40:29,647.8596063736619,0.035396046247183843,3.7393068144416899e-09,1295.7192127473238,369.79587523259954,57.079631388426876,0.57079631388426877,12749163.002893453,1.0031810267070074,2.2685716401719627,--,1.1831761418721248e-05,188.89132391104366,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,491.8502158844363,26.947799721428378,6691588.0676246881,100,100,100.00000000000001,983.70043176887259,4.9253731373450061e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0010148454695303899,2,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90088084410252689,Aqueous,
D1,,23:46:08,2025-08-30,270,7,7,None,6189245.219928666,48353478.640954204,8,8,0,100,5.0331602096557617,24.871982174313658,36.000001430511475,20.000000298023224,25,5,D1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",4,1,2025-Aug-30 23:40:29,782.32231601609499,0.030540087909831835,3.0896189312511222e-09,1564.64463203219,446.54669798138059,57.079631865211127,0.57079631865211122,19820863.116458748,1.0032016848912479,1.0659556123925553,--,5.5828311686362036e-06,156.07230067126522,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,586.13483312851429,26.861436057613552,10086471.875193836,100,100,100,1172.2696662570286,4.1237573699592559e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.00068207179821636217,2,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90265960902248854,Aqueous,
D2,,23:46:55,2025-08-30,317,8,8,None,6875846.0720594944,66113902.18977271,8,8,0,100,5.0331602096557617,24.78733549140129,47.999998927116394,20.000000298023224,25,5,D2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",4,2,2025-Aug-30 23:40:29,691.23339049134381,0.035281927360013683,3.4889415486539553e-09,1382.4667809826876,394.5534731843241,57.079631657241968,0.57079631657241969,14836537.245887827,1.0035564569263384,2.4383636136153792,--,8.3698334414823535e-06,176.24410764443286,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,529.0120758499711,28.563366705935696,7934936.1265248936,100,100,100,1058.0241516999422,4.5588239021336609e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0010317166363528318,2,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90442552769594475,Aqueous,
E1,,23:47:39,2025-08-30,361,9,9,None,5994819.7443383923,40781084.281973131,8,8,0,100,5.0331602096557617,24.744985827580852,50.999999046325684,30.000001192092896,25,5,E1,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",5,1,2025-Aug-30 23:40:29,727.02208718813995,0.069956627865190163,3.3134767505501308e-09,1454.0441743762799,414.98153543492367,57.079632482683309,0.57079632482683307,16696588.498589264,1.0024713500611555,1.9144503784157072,--,1.6333125540625301e-07,167.38049558256384,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,586.99790005225759,18.419572031898156,10121256.971651584,100.00000000000001,100.00000000000001,99.999999999999986,1173.9958001045152,4.1038831362426901e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0011446118363811367,2,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90531124401673779,Aqueous,
E2,,23:48:25,2025-08-30,407,10,10,None,6584705.3774845386,64555937.487705067,8,8,0,100,5.0331602096557617,24.725633996715864,66.00000262260437,30.000001192092896,25,5,E2,"614-WPR3, Z=9, Corner offsets=[-15,48],[-15,58],[5,-12],[25,68]",5,2,2025-Aug-30 23:40:29,668.40326566975114,0.069301669651095549,3.6022213228317859e-09,1336.8065313395023,381.52212063760686,57.079631449034792,0.57079631449034796,13715255.022068702,1.003121086394609,3.644407659117499,--,1.0776530436849709e-05,181.96644178026338,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,582.08244963701054,19.025819884765127,9924060.4807273373,100,100,100,1164.1648992740211,4.1364182983827336e-09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.0014169872059035084,2,1,--,--,--,--,--,,Protein,Sphere,1.5840000000000001,0,,0,Globular Proteins,0.185,Sphere,0,,50,25,1000,Water,1.333,0.90571646663950567,Aqueous,
